Game,Year,Number,Times Drawn,Tied Numbers
Mega Millions,2017,42,5,1
Mega Millions,2018,1,16,1
Mega Millions,2019,48,17,1
Mega Millions,2020,15,12,2
Mega Millions,2020,44,12,2
Mega Millions,2021,26,16,1
Mega Millions,2022,38,16,1
Mega Millions,2023,29,15,1
Mega Millions,2024,58,5,1
Pick 10,1987,4,101,1
Pick 10,1988,16,115,2
Pick 10,1988,37,115,2
Pick 10,1989,2,113,1
Pick 10,1990,41,109,1
Pick 10,1991,18,110,1
Pick 10,1992,14,109,2
Pick 10,1992,44,109,2
Pick 10,1993,28,103,2
Pick 10,1993,42,103,2
Pick 10,1994,26,106,2
Pick 10,1994,53,106,2
Pick 10,1995,51,110,1
Pick 10,1996,55,112,1
Pick 10,1997,19,110,1
Pick 10,1998,10,107,4
Pick 10,1998,27,107,4
Pick 10,1998,28,107,4
Pick 10,1998,39,107,4
Pick 10,1999,54,110,1
Pick 10,2000,2,109,1
Pick 10,2001,9,109,1
Pick 10,2002,73,112,1
Pick 10,2003,58,111,1
Pick 10,2004,25,114,1
Pick 10,2005,58,111,1
Pick 10,2006,32,107,1
Pick 10,2007,13,111,1
Pick 10,2008,59,114,1
Pick 10,2009,37,118,1
Pick 10,2010,55,114,1
Pick 10,2011,23,112,2
Pick 10,2011,72,112,2
Pick 10,2012,41,111,1
Pick 10,2013,27,109,1
Pick 10,2014,26,111,2
Pick 10,2014,68,111,2
Pick 10,2015,1,107,1
Pick 10,2016,46,109,1
Pick 10,2017,24,107,1
Pick 10,2018,9,119,1
Pick 10,2019,53,111,1
Pick 10,2020,75,111,1
Pick 10,2021,46,110,1
Pick 10,2022,11,112,1
Pick 10,2023,27,108,3
Pick 10,2023,35,108,3
Pick 10,2023,68,108,3
Pick 10,2024,32,40,1
Powerball,2015,16,4,8
Powerball,2015,20,4,8
Powerball,2015,30,4,8
Powerball,2015,32,4,8
Powerball,2015,40,4,8
Powerball,2015,47,4,8
Powerball,2015,56,4,8
Powerball,2015,68,4,8
Powerball,2016,23,16,2
Powerball,2016,64,16,2
Powerball,2017,32,14,2
Powerball,2017,63,14,2
Powerball,2018,56,13,1
Powerball,2019,14,14,1
Powerball,2020,36,14,1
Powerball,2021,38,15,1
Powerball,2022,37,21,1
Powerball,2023,24,21,1
Powerball,2024,44,8,1
