Game,Year,Number,Times Drawn
Mega Millions,2017,1,3
Mega Millions,2017,3,2
Mega Millions,2017,4,2
Mega Millions,2017,6,3
Mega Millions,2017,7,1
Mega Millions,2017,8,1
Mega Millions,2017,10,4
Mega Millions,2017,12,2
Mega Millions,2017,14,2
Mega Millions,2017,15,1
Mega Millions,2017,16,2
Mega Millions,2017,17,1
Mega Millions,2017,18,1
Mega Millions,2017,20,2
Mega Millions,2017,21,1
Mega Millions,2017,22,4
Mega Millions,2017,23,2
Mega Millions,2017,24,1
Mega Millions,2017,25,1
Mega Millions,2017,26,1
Mega Millions,2017,27,2
Mega Millions,2017,28,4
Mega Millions,2017,30,1
Mega Millions,2017,31,1
Mega Millions,2017,33,1
Mega Millions,2017,36,2
Mega Millions,2017,37,3
Mega Millions,2017,38,2
Mega Millions,2017,39,1
Mega Millions,2017,40,1
Mega Millions,2017,41,2
Mega Millions,2017,42,5
Mega Millions,2017,44,1
Mega Millions,2017,46,1
Mega Millions,2017,47,1
Mega Millions,2017,50,1
Mega Millions,2017,51,1
Mega Millions,2017,52,1
Mega Millions,2017,53,1
Mega Millions,2017,54,2
Mega Millions,2017,55,1
Mega Millions,2017,57,1
Mega Millions,2017,58,3
Mega Millions,2017,59,1
Mega Millions,2017,60,2
Mega Millions,2017,61,3
Mega Millions,2017,62,1
Mega Millions,2017,64,1
Mega Millions,2017,67,1
Mega Millions,2017,68,1
Mega Millions,2017,69,2
Mega Millions,2017,70,2
Mega Millions,2018,1,16
Mega Millions,2018,2,13
Mega Millions,2018,3,8
Mega Millions,2018,4,9
Mega Millions,2018,5,7
Mega Millions,2018,6,4
Mega Millions,2018,7,7
Mega Millions,2018,8,8
Mega Millions,2018,9,4
Mega Millions,2018,10,10
Mega Millions,2018,11,10
Mega Millions,2018,12,6
Mega Millions,2018,13,9
Mega Millions,2018,14,10
Mega Millions,2018,15,7
Mega Millions,2018,16,7
Mega Millions,2018,17,10
Mega Millions,2018,18,6
Mega Millions,2018,19,5
Mega Millions,2018,20,5
Mega Millions,2018,21,5
Mega Millions,2018,22,7
Mega Millions,2018,23,7
Mega Millions,2018,24,5
Mega Millions,2018,25,6
Mega Millions,2018,26,5
Mega Millions,2018,27,4
Mega Millions,2018,28,14
Mega Millions,2018,29,9
Mega Millions,2018,30,9
Mega Millions,2018,31,11
Mega Millions,2018,32,11
Mega Millions,2018,33,9
Mega Millions,2018,34,7
Mega Millions,2018,35,4
Mega Millions,2018,36,2
Mega Millions,2018,37,4
Mega Millions,2018,38,9
Mega Millions,2018,39,10
Mega Millions,2018,40,6
Mega Millions,2018,41,8
Mega Millions,2018,42,10
Mega Millions,2018,43,10
Mega Millions,2018,44,7
Mega Millions,2018,45,6
Mega Millions,2018,46,11
Mega Millions,2018,47,6
Mega Millions,2018,48,6
Mega Millions,2018,49,11
Mega Millions,2018,50,3
Mega Millions,2018,51,5
Mega Millions,2018,52,5
Mega Millions,2018,53,6
Mega Millions,2018,54,5
Mega Millions,2018,55,3
Mega Millions,2018,56,7
Mega Millions,2018,57,6
Mega Millions,2018,58,5
Mega Millions,2018,59,10
Mega Millions,2018,60,7
Mega Millions,2018,61,8
Mega Millions,2018,62,9
Mega Millions,2018,63,6
Mega Millions,2018,64,8
Mega Millions,2018,65,6
Mega Millions,2018,66,8
Mega Millions,2018,67,7
Mega Millions,2018,68,7
Mega Millions,2018,69,7
Mega Millions,2018,70,12
Mega Millions,2019,1,2
Mega Millions,2019,2,4
Mega Millions,2019,3,8
Mega Millions,2019,4,11
Mega Millions,2019,5,5
Mega Millions,2019,6,6
Mega Millions,2019,7,5
Mega Millions,2019,8,11
Mega Millions,2019,9,7
Mega Millions,2019,10,10
Mega Millions,2019,11,11
Mega Millions,2019,12,10
Mega Millions,2019,13,4
Mega Millions,2019,14,12
Mega Millions,2019,15,7
Mega Millions,2019,16,8
Mega Millions,2019,17,11
Mega Millions,2019,18,5
Mega Millions,2019,19,5
Mega Millions,2019,20,8
Mega Millions,2019,21,4
Mega Millions,2019,22,8
Mega Millions,2019,23,7
Mega Millions,2019,24,16
Mega Millions,2019,25,8
Mega Millions,2019,26,5
Mega Millions,2019,27,6
Mega Millions,2019,28,3
Mega Millions,2019,29,8
Mega Millions,2019,30,9
Mega Millions,2019,31,11
Mega Millions,2019,32,3
Mega Millions,2019,33,6
Mega Millions,2019,34,14
Mega Millions,2019,35,5
Mega Millions,2019,36,4
Mega Millions,2019,37,10
Mega Millions,2019,38,9
Mega Millions,2019,39,9
Mega Millions,2019,40,9
Mega Millions,2019,41,3
Mega Millions,2019,42,7
Mega Millions,2019,43,12
Mega Millions,2019,44,8
Mega Millions,2019,45,3
Mega Millions,2019,46,6
Mega Millions,2019,47,6
Mega Millions,2019,48,17
Mega Millions,2019,49,5
Mega Millions,2019,50,6
Mega Millions,2019,51,2
Mega Millions,2019,52,4
Mega Millions,2019,53,8
Mega Millions,2019,54,8
Mega Millions,2019,55,6
Mega Millions,2019,56,10
Mega Millions,2019,57,6
Mega Millions,2019,58,8
Mega Millions,2019,59,8
Mega Millions,2019,60,10
Mega Millions,2019,61,7
Mega Millions,2019,62,14
Mega Millions,2019,63,9
Mega Millions,2019,64,8
Mega Millions,2019,65,9
Mega Millions,2019,66,8
Mega Millions,2019,67,6
Mega Millions,2019,68,9
Mega Millions,2019,69,2
Mega Millions,2019,70,6
Mega Millions,2020,1,4
Mega Millions,2020,2,5
Mega Millions,2020,3,8
Mega Millions,2020,4,6
Mega Millions,2020,5,3
Mega Millions,2020,6,7
Mega Millions,2020,7,9
Mega Millions,2020,8,9
Mega Millions,2020,9,10
Mega Millions,2020,10,9
Mega Millions,2020,11,7
Mega Millions,2020,12,4
Mega Millions,2020,13,10
Mega Millions,2020,14,7
Mega Millions,2020,15,12
Mega Millions,2020,16,7
Mega Millions,2020,17,9
Mega Millions,2020,18,8
Mega Millions,2020,19,8
Mega Millions,2020,20,11
Mega Millions,2020,21,4
Mega Millions,2020,22,5
Mega Millions,2020,23,6
Mega Millions,2020,24,6
Mega Millions,2020,25,11
Mega Millions,2020,26,7
Mega Millions,2020,27,11
Mega Millions,2020,28,7
Mega Millions,2020,29,8
Mega Millions,2020,30,4
Mega Millions,2020,31,11
Mega Millions,2020,32,8
Mega Millions,2020,33,10
Mega Millions,2020,34,9
Mega Millions,2020,35,9
Mega Millions,2020,36,7
Mega Millions,2020,37,9
Mega Millions,2020,38,5
Mega Millions,2020,39,7
Mega Millions,2020,40,3
Mega Millions,2020,41,7
Mega Millions,2020,42,6
Mega Millions,2020,43,8
Mega Millions,2020,44,12
Mega Millions,2020,45,7
Mega Millions,2020,46,10
Mega Millions,2020,47,7
Mega Millions,2020,48,9
Mega Millions,2020,49,4
Mega Millions,2020,50,6
Mega Millions,2020,51,7
Mega Millions,2020,52,8
Mega Millions,2020,53,10
Mega Millions,2020,54,7
Mega Millions,2020,55,7
Mega Millions,2020,56,8
Mega Millions,2020,57,11
Mega Millions,2020,58,9
Mega Millions,2020,59,7
Mega Millions,2020,60,7
Mega Millions,2020,61,5
Mega Millions,2020,62,8
Mega Millions,2020,63,4
Mega Millions,2020,64,10
Mega Millions,2020,65,2
Mega Millions,2020,66,5
Mega Millions,2020,67,7
Mega Millions,2020,68,6
Mega Millions,2020,69,5
Mega Millions,2020,70,11
Mega Millions,2021,1,6
Mega Millions,2021,2,3
Mega Millions,2021,3,9
Mega Millions,2021,4,10
Mega Millions,2021,5,8
Mega Millions,2021,6,7
Mega Millions,2021,7,11
Mega Millions,2021,8,8
Mega Millions,2021,9,8
Mega Millions,2021,10,13
Mega Millions,2021,11,6
Mega Millions,2021,12,5
Mega Millions,2021,13,5
Mega Millions,2021,14,11
Mega Millions,2021,15,6
Mega Millions,2021,16,4
Mega Millions,2021,17,14
Mega Millions,2021,18,10
Mega Millions,2021,19,10
Mega Millions,2021,20,9
Mega Millions,2021,21,9
Mega Millions,2021,22,6
Mega Millions,2021,23,4
Mega Millions,2021,24,6
Mega Millions,2021,25,9
Mega Millions,2021,26,16
Mega Millions,2021,27,10
Mega Millions,2021,28,6
Mega Millions,2021,29,5
Mega Millions,2021,30,9
Mega Millions,2021,31,9
Mega Millions,2021,32,9
Mega Millions,2021,33,4
Mega Millions,2021,34,6
Mega Millions,2021,35,6
Mega Millions,2021,36,9
Mega Millions,2021,37,7
Mega Millions,2021,38,8
Mega Millions,2021,39,4
Mega Millions,2021,40,10
Mega Millions,2021,41,8
Mega Millions,2021,42,8
Mega Millions,2021,43,8
Mega Millions,2021,44,8
Mega Millions,2021,45,7
Mega Millions,2021,46,8
Mega Millions,2021,47,7
Mega Millions,2021,48,7
Mega Millions,2021,49,4
Mega Millions,2021,50,7
Mega Millions,2021,51,4
Mega Millions,2021,52,10
Mega Millions,2021,53,9
Mega Millions,2021,54,6
Mega Millions,2021,55,5
Mega Millions,2021,56,10
Mega Millions,2021,57,7
Mega Millions,2021,58,11
Mega Millions,2021,59,6
Mega Millions,2021,60,3
Mega Millions,2021,61,6
Mega Millions,2021,62,6
Mega Millions,2021,63,6
Mega Millions,2021,64,7
Mega Millions,2021,65,8
Mega Millions,2021,66,6
Mega Millions,2021,67,5
Mega Millions,2021,68,10
Mega Millions,2021,69,9
Mega Millions,2021,70,4
Mega Millions,2022,1,8
Mega Millions,2022,2,10
Mega Millions,2022,3,11
Mega Millions,2022,4,8
Mega Millions,2022,5,9
Mega Millions,2022,6,11
Mega Millions,2022,7,12
Mega Millions,2022,8,10
Mega Millions,2022,9,7
Mega Millions,2022,10,3
Mega Millions,2022,11,11
Mega Millions,2022,12,4
Mega Millions,2022,13,8
Mega Millions,2022,14,10
Mega Millions,2022,15,12
Mega Millions,2022,16,11
Mega Millions,2022,17,6
Mega Millions,2022,18,7
Mega Millions,2022,19,9
Mega Millions,2022,20,10
Mega Millions,2022,21,11
Mega Millions,2022,22,9
Mega Millions,2022,23,4
Mega Millions,2022,24,8
Mega Millions,2022,25,8
Mega Millions,2022,26,4
Mega Millions,2022,27,5
Mega Millions,2022,28,7
Mega Millions,2022,29,9
Mega Millions,2022,30,6
Mega Millions,2022,31,6
Mega Millions,2022,32,6
Mega Millions,2022,33,6
Mega Millions,2022,34,4
Mega Millions,2022,35,5
Mega Millions,2022,36,9
Mega Millions,2022,37,6
Mega Millions,2022,38,16
Mega Millions,2022,39,4
Mega Millions,2022,40,10
Mega Millions,2022,41,6
Mega Millions,2022,42,5
Mega Millions,2022,43,7
Mega Millions,2022,44,7
Mega Millions,2022,45,8
Mega Millions,2022,46,10
Mega Millions,2022,47,7
Mega Millions,2022,48,5
Mega Millions,2022,49,1
Mega Millions,2022,50,5
Mega Millions,2022,51,6
Mega Millions,2022,52,9
Mega Millions,2022,53,10
Mega Millions,2022,54,5
Mega Millions,2022,55,7
Mega Millions,2022,56,5
Mega Millions,2022,57,5
Mega Millions,2022,58,8
Mega Millions,2022,59,9
Mega Millions,2022,60,6
Mega Millions,2022,61,8
Mega Millions,2022,62,5
Mega Millions,2022,63,8
Mega Millions,2022,64,12
Mega Millions,2022,65,4
Mega Millions,2022,66,9
Mega Millions,2022,67,6
Mega Millions,2022,68,5
Mega Millions,2022,69,8
Mega Millions,2022,70,4
Mega Millions,2023,1,6
Mega Millions,2023,2,7
Mega Millions,2023,3,13
Mega Millions,2023,4,4
Mega Millions,2023,5,5
Mega Millions,2023,6,8
Mega Millions,2023,7,5
Mega Millions,2023,8,10
Mega Millions,2023,9,7
Mega Millions,2023,10,12
Mega Millions,2023,11,5
Mega Millions,2023,12,10
Mega Millions,2023,13,9
Mega Millions,2023,14,6
Mega Millions,2023,15,10
Mega Millions,2023,16,7
Mega Millions,2023,17,7
Mega Millions,2023,18,11
Mega Millions,2023,19,7
Mega Millions,2023,20,9
Mega Millions,2023,21,5
Mega Millions,2023,22,7
Mega Millions,2023,23,7
Mega Millions,2023,24,6
Mega Millions,2023,25,6
Mega Millions,2023,26,7
Mega Millions,2023,27,5
Mega Millions,2023,28,5
Mega Millions,2023,29,15
Mega Millions,2023,30,9
Mega Millions,2023,31,6
Mega Millions,2023,32,8
Mega Millions,2023,33,10
Mega Millions,2023,34,3
Mega Millions,2023,35,8
Mega Millions,2023,36,7
Mega Millions,2023,37,7
Mega Millions,2023,38,6
Mega Millions,2023,39,8
Mega Millions,2023,40,9
Mega Millions,2023,41,8
Mega Millions,2023,42,9
Mega Millions,2023,43,7
Mega Millions,2023,44,7
Mega Millions,2023,45,9
Mega Millions,2023,46,11
Mega Millions,2023,47,9
Mega Millions,2023,48,4
Mega Millions,2023,49,5
Mega Millions,2023,50,7
Mega Millions,2023,51,8
Mega Millions,2023,52,8
Mega Millions,2023,53,6
Mega Millions,2023,54,7
Mega Millions,2023,55,9
Mega Millions,2023,56,1
Mega Millions,2023,57,9
Mega Millions,2023,58,3
Mega Millions,2023,59,10
Mega Millions,2023,60,4
Mega Millions,2023,61,12
Mega Millions,2023,62,6
Mega Millions,2023,63,8
Mega Millions,2023,64,9
Mega Millions,2023,65,6
Mega Millions,2023,66,11
Mega Millions,2023,67,6
Mega Millions,2023,68,6
Mega Millions,2023,69,6
Mega Millions,2023,70,7
Mega Millions,2024,1,3
Mega Millions,2024,2,4
Mega Millions,2024,3,4
Mega Millions,2024,4,1
Mega Millions,2024,5,3
Mega Millions,2024,6,2
Mega Millions,2024,7,1
Mega Millions,2024,8,1
Mega Millions,2024,9,1
Mega Millions,2024,10,3
Mega Millions,2024,11,3
Mega Millions,2024,12,2
Mega Millions,2024,13,1
Mega Millions,2024,14,2
Mega Millions,2024,15,2
Mega Millions,2024,16,3
Mega Millions,2024,17,2
Mega Millions,2024,18,3
Mega Millions,2024,19,4
Mega Millions,2024,20,2
Mega Millions,2024,21,2
Mega Millions,2024,22,4
Mega Millions,2024,23,2
Mega Millions,2024,24,1
Mega Millions,2024,25,2
Mega Millions,2024,26,3
Mega Millions,2024,27,2
Mega Millions,2024,28,1
Mega Millions,2024,29,3
Mega Millions,2024,30,3
Mega Millions,2024,31,4
Mega Millions,2024,32,1
Mega Millions,2024,33,3
Mega Millions,2024,34,3
Mega Millions,2024,35,2
Mega Millions,2024,36,1
Mega Millions,2024,37,1
Mega Millions,2024,38,3
Mega Millions,2024,39,1
Mega Millions,2024,40,1
Mega Millions,2024,41,1
Mega Millions,2024,42,3
Mega Millions,2024,43,1
Mega Millions,2024,44,4
Mega Millions,2024,45,2
Mega Millions,2024,46,2
Mega Millions,2024,47,1
Mega Millions,2024,49,4
Mega Millions,2024,50,4
Mega Millions,2024,51,2
Mega Millions,2024,52,1
Mega Millions,2024,53,1
Mega Millions,2024,54,2
Mega Millions,2024,55,2
Mega Millions,2024,56,1
Mega Millions,2024,57,2
Mega Millions,2024,58,5
Mega Millions,2024,59,2
Mega Millions,2024,60,3
Mega Millions,2024,61,3
Mega Millions,2024,62,1
Mega Millions,2024,63,1
Mega Millions,2024,64,3
Mega Millions,2024,65,1
Mega Millions,2024,66,4
Mega Millions,2024,67,2
Mega Millions,2024,68,1
Mega Millions,2024,69,4
Mega Millions,2024,70,2
Pick 10,1987,1,85
Pick 10,1987,2,90
Pick 10,1987,3,88
Pick 10,1987,4,101
Pick 10,1987,5,80
Pick 10,1987,6,96
Pick 10,1987,7,84
Pick 10,1987,8,94
Pick 10,1987,9,86
Pick 10,1987,10,81
Pick 10,1987,11,94
Pick 10,1987,12,85
Pick 10,1987,13,89
Pick 10,1987,14,93
Pick 10,1987,15,89
Pick 10,1987,16,86
Pick 10,1987,17,85
Pick 10,1987,18,86
Pick 10,1987,19,78
Pick 10,1987,20,89
Pick 10,1987,21,82
Pick 10,1987,22,89
Pick 10,1987,23,81
Pick 10,1987,24,80
Pick 10,1987,25,89
Pick 10,1987,26,83
Pick 10,1987,27,82
Pick 10,1987,28,80
Pick 10,1987,29,92
Pick 10,1987,30,93
Pick 10,1987,31,95
Pick 10,1987,32,90
Pick 10,1987,33,87
Pick 10,1987,34,95
Pick 10,1987,35,97
Pick 10,1987,36,86
Pick 10,1987,37,91
Pick 10,1987,38,92
Pick 10,1987,39,80
Pick 10,1987,40,76
Pick 10,1987,41,85
Pick 10,1987,42,96
Pick 10,1987,43,80
Pick 10,1987,44,88
Pick 10,1987,45,82
Pick 10,1987,46,96
