Game,Number,Times Drawn,Pool,Drawings,Expected,Lower Band,Upper Band,Deviation,Percent From Expected,Within Chance Band
Mega Millions,1,48,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-0.2142857142857082,-0.4444444444444319,True
Mega Millions,2,46,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-2.214285714285708,-4.592592592592581,True
Mega Millions,3,63,70,675,48.21428571428571,28.141077862290857,68.28749356628056,14.785714285714292,30.666666666666682,True
Mega Millions,4,51,70,675,48.21428571428571,28.141077862290857,68.28749356628056,2.785714285714292,5.777777777777791,True
Mega Millions,5,40,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-8.214285714285708,-17.037037037037024,True
Mega Millions,6,48,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-0.2142857142857082,-0.4444444444444319,True
Mega Millions,7,51,70,675,48.21428571428571,28.141077862290857,68.28749356628056,2.785714285714292,5.777777777777791,True
Mega Millions,8,58,70,675,48.21428571428571,28.141077862290857,68.28749356628056,9.785714285714292,20.296296296296312,True
Mega Millions,9,44,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-4.214285714285708,-8.74074074074073,True
Mega Millions,10,64,70,675,48.21428571428571,28.141077862290857,68.28749356628056,15.785714285714292,32.74074074074076,True
Mega Millions,11,53,70,675,48.21428571428571,28.141077862290857,68.28749356628056,4.785714285714292,9.92592592592594,True
Mega Millions,12,43,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-5.214285714285708,-10.814814814814804,True
Mega Millions,13,46,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-2.214285714285708,-4.592592592592581,True
Mega Millions,14,60,70,675,48.21428571428571,28.141077862290857,68.28749356628056,11.785714285714292,24.44444444444446,True
Mega Millions,15,57,70,675,48.21428571428571,28.141077862290857,68.28749356628056,8.785714285714292,18.222222222222236,True
Mega Millions,16,49,70,675,48.21428571428571,28.141077862290857,68.28749356628056,0.7857142857142918,1.6296296296296424,True
Mega Millions,17,60,70,675,48.21428571428571,28.141077862290857,68.28749356628056,11.785714285714292,24.44444444444446,True
Mega Millions,18,51,70,675,48.21428571428571,28.141077862290857,68.28749356628056,2.785714285714292,5.777777777777791,True
Mega Millions,19,48,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-0.2142857142857082,-0.4444444444444319,True
Mega Millions,20,56,70,675,48.21428571428571,28.141077862290857,68.28749356628056,7.785714285714292,16.148148148148163,True
Mega Millions,21,41,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-7.214285714285708,-14.962962962962953,True
Mega Millions,22,50,70,675,48.21428571428571,28.141077862290857,68.28749356628056,1.7857142857142918,3.7037037037037166,True
